Công ty,Năm,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155
1,2015,8872.709,8589.409,314.273,598434.475,139316.14,35931.248,159449.084,107340.325,38148.323,0,13960.436,65920.386,43759.987,0,0,0,0,0,0,0,43759.987,38067.928,38067.928,0,0,0,0,41112.334,0,0,74877.368,598434.475,570845.421,17535.374,3975.637,887.764,5190.279,598434.475,340814.923,81672.967,175946.585,598434.475,97889.136,336552.228,15206.595,9749.597,137950.169,1086.75,121564.774,86813.946,86887.868,66504.161,,10371.019,10012.688,533.409,-607.331,34750.828,36848.571,1579.829,0,81.298,14351.355,20836.089,-2097.743,-1999.886,564692.853,104317.083,456657.948,0,0,3717.822,564692.853,23856.562,151559.827,13925.047,310233.97,65117.447,49005.228,39135.703,1346.217,7022.124,451.432,6570.692,104.755,1396.429,29690.259,23844.797,3611.037,2207.769,26.656,2336.531,1462.284,37.212,0,151.898,978.461,0,1332.499,-141.63,-120.312,-91.937,-0.646,-797.752,0,-473.546,293.971,789.532,427.682,1.725,0,-516.855,-406.843,-1.27,0,-62.986,333.256,-404.439,8.197,11.294,106.114,0,-189.834,0,95.014,0,2369.393,2629.481,0,3.968,0,781.302,122.802,0,0,0,-520.639,-307.985,-339.536,11087.176,47.886,6255.652,5479.725,257.776,237.972,0,280.179,2047.75,611.532,1436.218,2310.577,394.99,30.321,0,0
1,2016,10018.96,9775.928,312.943,723697.408,170131.013,43329.676,179454.822,120179.183,45125.635,0,14150.004,85373.299,50891.8,0,0,0,0,0,0,0,50891.8,47807.986,47807.986,0,0,0,0,37479.705,0,0,109229.107,723697.408,682185.112,27083.337,6481.93,1035.811,6911.218,723697.408,396853.66,86399.622,240444.126,723697.408,97755.26,408752.78,14920.966,12408.966,188713.786,1145.65,144412.972,113404.363,113493.762,86661.272,,12469.514,14362.976,163.393,-252.792,31008.609,36823.521,1573.014,0,30.242,14088.791,21131.474,-5814.912,-5654.756,726021.696,124926.847,596173.612,0,0,4921.237,726021.696,27013.648,177037.388,21157.102,394647.471,106166.087,62600.277,51120.479,1412.658,8493.985,185.18,8308.805,20.412,1552.743,39165.682,32213.548,3277.762,3439.697,234.675,2509.14,1760.83,51.668,0,125.048,1181.251,0,1371.354,-166.367,-148.734,-117.744,-3.949,-944.326,0,-599.891,534.468,693.08,498.633,1.313,0,-217.098,-440.962,-0.498,0,455.425,725.315,-493.484,223.594,402.957,506.525,0,-4.297,0,-99.271,0,1882.776,2689.902,0,1.355,0,857.319,236.682,0,0,0,-761.022,-388.401,-753.059,13526.621,80.303,7428.666,6411.64,326.875,361.696,0,328.455,2674.26,852.507,1821.753,2836.59,532.943,-26.141,0,0
1,2017,9613.772,9147.885,560.369,866885.307,223164.913,40121.618,203103.146,144771.37,43457.971,0,14873.805,98978.371,78456.756,0,0,0,0,0,0,0,78456.756,46116.025,46116.025,0,0,0,0,37497.919,0,0,139446.559,866885.307,822297.723,30523.478,3749.61,5084.324,5230.172,866885.307,502852.624,81745.839,282286.844,866885.307,92500.818,482657.942,18491.646,3777.878,269328.431,128.592,146477.353,117877.844,117809.263,92543.643,,12138.717,13126.903,288.353,-219.772,28599.509,38385.96,1572.684,0,233.743,16809.345,19347.388,-9786.451,-9580.872,859985.173,160200.47,694092.41,0,0,5692.293,859985.173,134628.728,102572.082,27054.057,469592.558,126137.748,78628.515,65407.585,1755.04,9698.063,320.11,9377.953,10.171,1757.656,47673.184,39253.099,3462.941,4622.912,334.232,2965.77,2270.271,68.541,0,107.201,1320.867,0,1844.737,-319.684,-178.559,-123.984,-0.843,-944.326,0,-1078.451,668.128,1498.172,636.742,0.219,0,-764.878,-701.707,-0.42,0,481.615,696.724,-190.538,-24.571,331.341,343.826,0,-0.45,0,-12.035,0,3278.998,3606.832,0,8.982,0,767.66,210.78,0,0,0,-662.665,-284.871,-367.72,15504.237,82.469,8500.439,7305.578,362.189,481.162,0,351.51,2872.54,931.231,1941.309,2948.384,663.536,436.869,0,0
1,2018,673.639,154.664,635.546,988738.78,283854.76,45121.029,226225.565,166931.886,0,47045.376,12248.303,104593.592,0,0,0,0,0,0,0,0,0,46730.422,46730.422,0,0,0,0,29131.264,0,115091.827,137990.321,988738.78,946912.042,23024.323,5449.978,6182.267,7170.17,988738.78,611216.895,71538.449,305983.436,988738.78,85659.365,558783.905,21519.701,1346.569,319629.909,1799.331,133142.95,111235.528,111311.887,90903.438,,8698.941,11709.508,107.308,-183.667,21907.422,29847.625,1572.684,0,392.721,12461.646,14137.535,-7940.203,-7676.198,989671.155,161859.416,820032.45,0,0,7779.289,989671.155,151486.36,4693.807,32877.609,572320.166,228293.213,90074.018,75453.373,2500.295,9830.253,343.783,9486.47,28.21,2261.887,55218.154,47358.997,3232.678,4261.35,365.129,3550.799,2987.253,100.101,0,110.426,1461,0,3604.065,-579.4,-222.044,-133.91,-0.874,-1134,0,-2314.818,1039.685,2542.089,464.648,0,0,-1305.542,-661.51,0,0,645.456,1033.608,-366.063,-22.089,234.077,294.932,0,-39.329,0,-21.526,0,3815.175,4478.587,0,0,0,686.401,172.321,0,0,0,-763.012,-200.933,-558.189,16116.922,109.674,8879.654,7620.081,381.699,531.63,0,346.244,3016.931,978.546,2038.385,3244.955,789.071,76.637,0,0
1,2019,6345.667,5667.929,711.927,1116997.985,340021.921,47244.686,250256.698,184205.141,54226.819,0,11824.738,105612.427,145510.899,0,0,0,0,0,0,0,145510.899,45798.432,45798.432,0,0,0,0,29960.325,0,0,152592.597,1116997.985,1072557.727,24943.852,3835.155,4305.007,11356.244,1116997.985,699730.635,73226.488,344040.862,1116997.985,92340.386,609216.343,21626.375,991.905,391959.18,863.796,138284.421,121635.537,121749.386,89443.691,,23283.715,9021.98,69.703,-183.552,16648.884,23262.431,1572.744,0,642.344,10797.538,9312.057,-6613.547,-6299.125,1114162.624,178383.601,923233.263,0,0,12545.76,1114162.624,177330.829,5279.517,43485.846,618067.553,269998.879,100747.225,85798.186,3722.192,8722.086,25.75,8696.336,88.495,2416.266,64769.417,58016.356,2918.669,3422.689,411.703,4266.331,3343.859,87.376,0,111.939,1694.062,0,2634.601,-623.759,-253.389,-140.54,-0.855,-1222.557,0,-1364.406,1494.696,3543.237,508.463,0,0,-2108.322,-448.682,0,0,325.524,388.384,-145.242,82.382,481.222,1022.18,0,-18.444,0,-522.514,0,5361.174,5777.81,0,0,0,569.691,170.368,0,0,0,-498.185,-176.444,-482.066,17257.115,90.097,9722.449,8378.924,412.107,559.867,0,371.551,3027.141,1023.773,2003.368,3556.309,880.621,-19.502,0,0
1,2020,10169.578,9793.754,390.549,1214295.916,373938.373,53932.759,277627.04,195480.485,68298.322,0,13848.233,108049.832,143556.862,0,0,0,0,0,0,0,143556.862,47280.184,47280.184,0,0,0,0,29791.513,0,0,180119.353,1214295.916,1179268.926,13657.572,2382.136,2462.228,16525.054,1214295.916,763667.195,70036.253,380592.468,1214295.916,91285.715,658333.345,20842.782,679.196,442520.98,633.898,125114.962,112040.886,112091.031,78805.292,,26621.204,6664.535,101.307,-151.452,13074.076,13501.317,1602.418,0,563.714,9608.051,0,-427.241,0,1226673.942,221331.066,998833.657,0,0,6509.219,1226673.942,191164.486,2768.524,62434.876,635518.001,334788.055,100687.502,87665.083,2485.136,7774.402,160.395,7614.007,135.768,2627.113,64890.703,56469.185,2027.045,5503.723,890.75,5266.381,3675.394,92.384,0,103.482,1935.04,0,2811.79,-386.76,-262.956,-147.896,-0.226,-1358.374,0,-1195.497,1732.324,3647.612,592.961,0,0,-1995.723,-512.526,0,0,478.668,1120.487,-661.283,19.464,1516.137,1854.832,0,-0.977,0,-337.718,0,5092.568,7135.895,0,0.572,0,719.065,137.257,0,0,0,-644.232,-201.131,-2054.858,17692.97,81.237,10117.321,8246.282,908.878,573.093,0,389.068,3064.09,980.093,2083.997,3514.305,940.972,-24.955,0,0
1,2021,6066.664,5391.911,691.252,1354633,413693,55905,301872,213288,77595,,10989,109609,173147,,,,,,,,173147,46556,46556,,,,,31887,,,221963,1354632.643,1325854.57,15232,2758,3506,7283,1354632.643,872503.844,77065.348,405063.451,1354633,79774,698468,24738,880,546722,719,177089.395,111467.291,111608.008,59786,0,45423,6398.176,67.305,-181,65711,65710.756,48988,0,8915,7770,0,-117,0,1380401.585,267334.417,1107780.582,0,0,5286.586,1309952,205375,3076,89153,691832,320516,101007.122,90269.315,2160.941,6355.258,173.404,6181.854,181.066,2040.542,54189.59,47868.125,1211.889,4943.822,165.754,6614,4306,110,0,106,2235,0,3613,-378,-217,-154,-0.105,-1491,0,-1515,1896,3090,669,0,0,-936,-927,0,0,582.736,931.759,-345.99,-3.033,207,429.98,0,-9.587,0,-213,0,6179,8233,0,0,0,665,59,0,0,0,-541,-433,-1805,19361.341,69.898,11425.64,9240.92,971.391,645.617,0,567.712,3347.924,1126.578,2221.346,3611.797,957.274,-51.192,0,0
1,2022,1701.464,1134.303,614.218,1522221.714,463119.427,59347.766,318628.531,239090.054,79538.477,0,0,117429.55,184063.129,0,0,0,0,0,0,0,184063.129,0,0,0,0,0,0,0,0,0,379633.311,1522221.714,1479013.243,25586.039,3153.935,2692.621,11775.876,1522221.714,990937.552,75744.436,455539.726,1522221.714,84562.576,732719.751,29616.092,0,674480.348,842.947,235636.449,161949.352,162218.228,59344.327,0,97316.988,5556.913,64.855,-333.731,73687.097,73734.542,53899.667,0,12618.426,7216.449,,-47.445,,1473598.15,270546.799,1195563.391,0,0,7487.96,1473598.15,216339.45,3075.126,87113.325,756784.611,410285.638,121110.719,106886.62,3855.881,7726.795,69.856,7656.939,247.583,2393.84,65041.035,56799.198,1795.458,6317.636,128.743,5648.065,3868.602,160.062,0,95.261,2536.263,0,3683.993,-436.269,-301.778,-167.119,-0.397,-1627.675,0,-2162.878,3136.613,5545.996,1573.346,0,0,-2150.771,-1831.958,0,0,-31.664,308.733,-307.546,-32.851,258.767,348.447,0,-6.416,0,-83.264,0,4210.327,5693.753,0,0,0,715.618,117.05,0,0,0,-1056.228,-275.527,-984.339,22557.474,155.767,12837.265,10338.161,987.159,964.374,0,547.571,3440.024,1057.77,2382.254,5053.717,1026.761,43.94,0,0
1,2023,6972.474,6437.202,566.454,1777664.882,553748.42,64785.96,386420.611,291203.191,95217.42,0,0,111199.088,238987.145,0,0,0,0,0,0,0,238987.145,0,0,0,0,0,0,0,0,0,422523.658,1777664.882,1727244.452,28052.516,3819.55,5523.163,13025.201,1777664.882,1178611.554,94279.733,504773.595,1777664.882,97177.321,845159.011,47716.42,0,785635.407,1976.723,222393.123,126886.515,127507.86,47271.978,0,75365.814,4870.068,64.572,-685.917,95506.608,95722.385,79961.064,0,13276.354,2484.967,,-215.777,,1704690.185,334075.62,1359619.055,0,4060.633,6934.877,1704690.185,242586.047,220656.211,95109.756,884774.132,261564.039,152761.316,135055.542,5282.284,8751.171,22.772,8728.399,371.804,3300.515,96625.75,83048.507,3095.914,10379.613,101.716,6569.87,4166.373,126.159,0,84.011,3665.263,0,3851.594,-510.576,-313.563,-177.494,-0.739,-1935.112,0,-2386.046,4707.371,6812.28,2073.556,0,0,-2557.162,-1621.303,0,0,305.396,345.792,-56.305,15.909,2871.74,3394.408,0,-2.15,0,-520.518,0,2067.799,5428.132,0,0,0,1024.052,90.341,0,0,0,-1670.864,-231.403,-2572.459,25080.598,111.016,14478.077,11637.504,1077.663,1223.87,0,539.04,4001.989,1293.399,2708.59,5630.488,1149.475,-290.447,0,0
1,2024,12734.06,11546.091,1227.249,2056082.42,603013.583,77787.188,421764.903,319153.826,102611.077,0,0,103618.244,308752.144,0,0,0,0,0,0,0,308752.144,0,0,0,0,0,0,0,0,0,541146.358,2056082.42,1992891.423,34155.414,3670.833,5563.491,19801.259,2056082.42,1332621.811,104835.026,618625.583,2056082,108365,892236,72708,0,976799,5974,277838.107,157713.634,157827.472,25345.755,0,129376.717,3105,91.356,-205.194,120124.473,121120.044,105526.937,0,13526.349,2066.758,,,,1953170.494,380294.208,1559609.793,0,4869.26,8397.233,,,,,,,138288.436,120242.697,4691.379,9001.302,335.663,8665.639,381.721,3971.337,80280.836,67389.259,2450.004,9749.844,691.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.584,460.118,-167.502,-7.032,4900.33,5235.457,0,-29.421,0,-305.706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27790.446,116.261,15823.599,12841.628,1147.395,1272.19,0,562.386,4564.412,1312.961,3251.451,5999.241,1317.494,-30.561,0,0
