,Vốn FDI (Lũy kế_Triệu USD) ,May 16,Jun 16,Jul 16,Aug 16,Sep 16,Oct 16,Nov 16,Dec 16,Jan 17,Feb 17,Mar 17,Apr 17,May 17,Jun 17,Jul 17,Aug 17,Sep 17,Oct 17,Nov 17,Dec 17,Jan 18,Feb 18,Mar 18,Apr 18,May 18,Jun 18,Jul 18,Aug 18,Sep 18,Oct 18,Nov 18,Dec 18,Jan 19,Feb 19,Mar 19,Apr 19,May 19,Jun 19,Jul 19,Aug 19,Sep 19,Oct 19,Nov 19,Dec 19,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23,Feb 23,Mar 23,Apr 23,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24,Oct 24,Nov 24,Dec 24,Jan 25,Feb 25,Mar 25,Apr 25,May 25,Jun 25,Jul 25,Aug 25,Sep 25
,Vốn thực hiện,5800,7250,8550,9800,11020,12700,14300,15800,950,1550,3620,4800,6150,7720,9050,10300,12500,14200,16000,17500,1420,2350,3880,5300,6770,8420,9850,11250,13250,15100,16500,19100,1550,2580,4120,5700,7300,9100,10550,11960,14220,16210,17620,20380,1450,2450,3850,5150,6700,8650,10120,11350,13760,15800,17850,19980,1510,2500,4100,5500,7150,9240,10500,11580,13280,15150,17100,19740,1612,2680,4420,5920,7710,9974,11487,12935,15563,17585,19684.2,22400,1350,2550,4324,5850,7650,10021,11580,13100,15913,18000,20250,23183,1480,2800,4630,6280,8250,10842,12550,14150,17335,19580,21680,25351,1510,2950,4960,6740,8900,11720,13600,15400,18800
,Vốn đăng ký,10987.98859459,12422.2461432914,14431.098544,16105.652529,18971.7399763504,20554.26,21572.8172312674,24857.8613518463,1653.17318,3407.39803554859,7710.08002831409,10597.9847400455,12130.2865076201,19229.3624968004,21932.3348291601,23363.7255396958,25483.5647091174,28238.4554407482,33086.71,35883.8499031812,1255.40143532516,3344.93319643489,5801.62,8061.48357191504,9900.17204615915,20333.300051414,22944.7905569953,24348.6693723768,25372.9518969962,27911.9365342421,30836.057836243,35465.555630188,1907.16164731619,8470.90206002965,10805.4724404798,14591.3658485039,16737.1079146151,18468.5374954137,20218.74,22627.8,26164.38,29114.57,31795.11,38019.1122591745,5329.5748284815,6469.066049356,8552.46890038388,12332.4975324807,13885.7482747159,15671.0638598287,18817.4429294838,19538.3360694004,21207.9997527704,23480.80358918,26432.2537573371,28530.1011184229,2016.57183402198,5458.16835786447,10130.5459712812,12251.1130596599,13995.0761061305,15271.0871296771,16723.5170226663,19122.2780841109,22145.9621123578,23737.8084230829,26462.7169216362,31153.3391078711,2101.71457196125,4995.82479280937,8907.402648,10813.682343,11710.78754,14030.381358,15541.39354,16775.727915,18754.704056,22461.190631,25135.242043,27718.130307,1685.34905,3097.361826,5446.936108,8878.417302,10856.304186,13432.284716,16238.775415,19188.956803,22201.41597,26757.598007,31069.433411,39390.338612,2917.91041,4293.459466,6174.77391,9274.405836,11071.843506,15185.218184,18001.059427,20524.483363,24783.410386,27259.224607,31378.258293,38226.170208,4334.785784,6904.944715,10978.62,13820,18400,21510,24090,26140,28540
,     Vốn FDI đăng ký,10158.98859,11284.70913,12940.42154,14366.67253,16430.08044,17613.44,18103.03723,20590.12706,1422.962781,2788.395802,6857.217812,9242.765912,10338.26333,16982.00129,18805.86756,19862.65462,21315.19878,23569.34067,27793.09,29692.73535,899.3657588,2091.562088,3911.54,5798.629333,7150.046145,16234.02746,18152.63106,19066.36716,19668.73941,21571.47289,23191.69407,25572.8274,1145.284423,3299.701777,5119.742092,7455.577243,9086.748208,10347.18792,11697.96,13117.81,15763.15,18302.4,20553.51,22547.63034,4794.826758,5641.751775,6596.536658,9853.887891,10895.11126,12160.96953,14178.11711,14609.29056,15476.47763,17370.44163,19892.64867,21060.90299,1795.768193,4915.070659,9325.245971,11203.95619,12687.14122,13665.50043,14672.25166,16310.22762,18924.04841,20108.29257,22079.56518,24260.1756,1658.216301,4226.227523,7276.250152,8986.265587,9728.190982,11760.13922,12963.26381,13862.45073,15472.70507,18669.87131,21057.07047,22564.0318,1511.208208,2299.49094,4231.324188,5765.139752,7541.035577,9418.10963,12094.65277,14425.00912,17342.89638,21508.07288,24334.57368,30638.17537,2728.450056,4038.034729,5708.608903,8344.841798,10018.58608,13487.10483,15731.88137,17711.27286,21197.71395,23578.5845,27318.94407,33688.05145,4011.926557,6375.144814,9489.176168,11990,15530,18250,20020.6,21680,23710
,     Vốn đăng ký cấp mới,7566.852767,7496.922336,8695.200485,9795.588941,11164.634175,12265.34,13028.18114777,14948.4904753489,1243.801785,2028.886914,2917.212158,4881.614364,5595.333445,11838.236573,12927.324043,13455.77048842,14560.51320442,16300.566631,19797.44,21275.89330142,442.587612,1391.24473536,2121.62,3553.83567436,4657.36502936,11799.77473236,13205.44572536,13481.59602836,14124.53723236,15028.15599936,15788.40510636,17976.17249236,805.012631,2444.891123,3821.38822,5345.014621,6457.928425,7411.763757,8272.42,9127.87,10973.39,12833.77,14680.08,16745.60240181,4460.869964,5003.691656,5531.46928,6780.204995,7440.355928,8437.413643,9462.336688,9734.48802,10360.37324,11660.719753,13559.236399,14646.417346,1323.535922,3308.66813,7222.675983,8456.169081,8827.65776808,9549.05894991,10128.65624717,11325.1955528,12498.8897896,13018.91840891,14057.75352866,15245.40318079,387.9563992,631.76240645,3212.912317,3697.187956,4116.261514,4942.938752,5723.127445,6350.357508,7123.865628,9929.425868,11521.124461,12446.218702,1204.914976,1764.140617,3023.150988,4105.748905,5261.374369,6492.128824,7935.107632,9447.959222,12181.8679,15615.983544,17273.936603,21358.428801,2281.435319,3595.937782,4774.009405,7110.212866,7936.241777,9536.754105,10763.881722,11998.534016,13553.757566,15229.960766,17387.185002,19731.075598,1286.835073,2191.034814,4333.252936,5590,7020,9300,10034.9,11030,12390
,     Vốn đăng ký tăng thêm,2592.13582759,3787.786794,4245.221059,4571.083588,5265.44626741992,5348.1,5074.85608349742,5641.63658849742,179.160996,759.50888812891,3940.00565412891,4361.15154788891,4742.92988251391,5143.76472138891,5878.54351448891,6406.88413259828,6754.68557059828,7268.77403919828,7995.65,8416.84204933828,456.77814684,700.31735284,1789.92,2244.79365887125,2492.68111587125,4434.25273242105,4947.18533042105,5584.77113256105,5544.20218056106,6543.31688856106,7403.28896656105,7596.65490756106,340.271792,854.81065372,1298.35387172,2110.56262247,2628.81978347,2935.42416121,3425.54,3989.94,4789.76,5468.63,5873.43,5802.02793887501,333.956794,638.060119,1065.067378,3073.682896,3454.75533628906,3723.55588728906,4715.78041728906,4874.80253846875,5116.10439046875,5709.72187546875,6333.41226863,6414.48564046,472.23227128125,1606.40252928125,2102.56998828125,2747.78710928125,3859.48345336719,4116.441481625,4543.59540894031,4985.03206558656,6425.15862236781,7089.37415671938,8021.81165281313,9014.77241860937,1270.25990190625,3594.46511623438,4063.337835,5289.077631,5611.929468,6817.200468,7240.136363,7512.093224,8348.839445,8740.44544,9535.946013,10117.813095,306.293232,535.350323,1208.1732,1659.390847,2279.661208,2925.980806,4159.545142,4977.049899,5161.028482,5892.089338,7060.637073,9279.746564,447.014737,442.096947,934.599498,1234.628932,2082.344306,3950.350729,4967.999645,5712.738846,7643.956388,8348.623737,9931.759069,13956.975849,2725.091484,4184.11,5155.923232,6400,8510,8950,9985.7,10650,11320
,"     Góp vốn, mua cổ phần",829,1137.53701329144,1490.677,1738.98,2541.65953393044,2940.82,3469.78,4267.734288,230.210399,619.00223341968,852.86221618519,1355.21882815654,1792.02318010624,2247.36120241155,3126.46727167119,3501.07091867753,4168.36593409916,4669.11477054988,5293.62,6191.11455242294,356.03567648517,1253.37110823489,1890.08,2262.85423868379,2750.1259009279,4099.27258663294,4792.15950121427,5282.3022114558,5704.21248407516,6340.46364632102,7644.36376332199,9892.72823026696,761.87722431619,5171.20028330965,5685.73034875978,7135.78860503387,7650.3597061451,8121.34957720372,8520.77,9509.99,10401.23,10812.17,11241.6,15471.4819184895,534.7480704815,827.314274356,1955.93224238387,2478.60964148075,2990.63701042687,3510.09432953963,4639.32582419477,4929.04551093163,5731.52212230162,6110.36196071128,6539.60508970713,7469.19813196292,220.80364074073,543.09769858323,805.3,1047.15686937866,1307.93488468328,1605.58669814209,2051.26536655596,2812.05046572435,3221.91370039,3629.51585745348,4383.15174016304,6893.16350847174,443.498270855,769.597270125,1631.152496,1827.416756,1982.596558,2270.242139,2578.129731,2913.277184,3281.998984,3791.319323,4078.17157,5154.09851,174.140842,797.870886,1215.61192,3113.27755,3315.268609,4014.175086,4144.12264,4763.947682,4858.519589,5249.525125,6734.859734,8752.163247,189.460354,255.424737,466.165008,929.564039,1053.257423,1698.11335,2269.178059,2813.210501,3585.696433,3680.640104,4059.314222,4538.118762,322.859228,529.8,1490,1830,2850,3280,4070,4460,4840
,Số dự án,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Số dự án cấp mới,907,757,1408,1619,1820,2061,2240,2503,175,313,493,734,939,1183,1378,1624,1844,2070,2293,2591,166,411,618,883,1076,1366,1656,1918,2182,2458,2714,3046,226,514,785,1082,1363,1723,2064,2406,2759,3094,3478,3883,258,500,758,984,1212,1418,1620,1797,1947,2100,2313,2523,47,126,234,451,613,804,1006,1135,1212,1375,1577,1738,103,183,322,454,578,752,927,1135,1355,1570,1812,2036,153,261,522,750,962,1293,1627,2071,2603,2705,2988,3314,302,405,644,966,1227,1538,1816,2247,2492,2743,3035,3375,282,516,850,1204,1549,1988,2254,2534,2962
,     Số dự án đăng ký điều chỉnh,425,281,660,770,851,967,1075,1205,76,137,223,345,437,549,677,773,878,1001,1100,1188,61,133,199,303,393,507,627,736,841,954,1059,1169,72,176,279,395,505,628,791,908,1037,1145,1256,1381,77,151,236,335,436,526,619,718,798,907,1051,1140,46,115,161,263,342,460,561,639,678,776,877,985,71,142,228,323,395,487,579,676,769,880,994,1107,89,133,234,386,485,632,736,883,957,1086,1196,1384,131,159,248,345,440,592,734,926,1027,1151,1350,1539,137,256,401,540,674,826,920,996,1092
,"     Số dự án góp vốn, mua cổ phần",1534,1977,1375,2981,3507,4071,4698,4900,328,654,1077,1687,2061,2501,2946,3374,3742,4156,4535,5002,415,873,1285,1863,2341,2749,3311,4551,5275,5342,5882,6496,489,1039,1653,2416,3160,4020,4387,5235,6502,7509,8561,9842,884,1583,2523,3210,3528,4125,4459,4804,5172,5451,5812,6141,194,445,734,1151,1422,1855,2403,2720,2830,3063,3466,3797,206,400,734,1026,1339,1707,2072,2425,2697,2997,3298,3566,204,440,703,1044,1278,1594,1852,2381,2643,2978,3257,3589,296,367,604,902,1158,1420,1795,2196,2471,2669,3029,3502,260,553,810,1106,1358,1708,1982,2245,2527
