,,Tăng trưởng GDP YTD so với cùng kỳ năm trước (%),Tăng trưởng GDP theo quý so với cùng kỳ năm trước (%),GDP theo giá trị thực YTD (Tỷ VND),GDP theo giá trị danh nghĩa YTD (Tỷ VND),,VIETNAM GDP COMPOSITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,,,,,,Growth YTD YOY,3T/2017,6T/2017,9T/2017,2017.0,3T/2018,6T/2018,9T/2018,2018.0,3T/2019,6T/2019,9T/2019,2019.0,3T/2020,6T/2020,9T/2020,2020.0,3T/2021,6T/2021,9T/2021,2021.0,3T/2022,6T/2022,9T2022,2022.0,3T/2023,6T/2023,9T/2023,2023.0,3T/2024,6T/2024,9T/2024,2024.0
,2024-12-31 00:00:00,7.09,7.55,6269210,11511867.2,,     Tổng GDP,0.0602802,0.06280415,0.06500672,0.06679308,0.07378208,0.07075643,0.0698467,0.07075797,0.06792505,0.06760587,0.06976754,0.07017437,0.03820807,0.01805487,0.02123752,0.02905841,0.0448,0.0564255,0.01422699,0.02575544,0.0503183,0.0641794,0.08830675,0.08017897,0.03318918,0.0371895,0.04244064,0.05046431,0.05657544,0.06417351,0.06816438,0.07091187
,2024-09-30 00:00:00,6.82,7.43,4472214.9,8099697.6,,"          Nông, lâm nghiệp và thủy sản",0.02139374,0.02362743,0.0207608,0.02408194,0.04050612,0.03930357,0.03651982,0.03762214,0.02680467,0.02388007,0.02017988,0.020107,0.00076435,0.011873,0.01839225,0.02681836,0.0316,0.03819882,0.02739899,0.02896779,0.02447564,0.02782806,0.02991698,0.03357873,0.02524398,0.03072801,0.03434971,0.03833456,0.02979307,0.03382144,0.03196903,0.03273286
,2024-06-30 00:00:00,6.42,6.93,2907903.7,5245201.1,,               Nông nghiệp,0.0154,0.019,0.0177,0.0203,0.03763,0.0328,0.0278,0.0289,0.0184,0.013,0.00744,0.00614,-0.0117,0.0083,0.0165,0.02554,0.0319,0.03688551,0.03318554,0.03180549,0.02347588,0.0231381,0.0242722,0.02881842,0.02429005,0.03137305,0.03416976,0.03875066,0.02805032,0.03152861,0.02923601,0.02941809
,2024-03-31 00:00:00,5.66,5.66,1399516.7,2513091.3,,               Lâm nghiệp,0.0602,0.0807,0.0789,0.0769,0.0503,0.0512,0.059,0.0601,0.042,0.0415,0.0398,0.04984,0.0503,0.0215,0.0202,0.0282,0.0378,0.03976987,0.03302566,0.03883001,0.03863088,0.04967426,0.05202756,0.06134031,0.03656374,0.03433868,0.03130918,0.03744364,0.04083476,0.0533754,0.04957454,0.05033896
,2023-12-31 00:00:00,5.05,6.72,5830724.9,10221814.7,,               Thủy sản,0.0338,0.033,0.0211,0.028,0.0476,0.0641,0.0637,0.0646,0.051,0.0645,0.06124,0.063,0.0279,0.0237,0.0244,0.0308,0.029,0.04248223,0.00658771,0.01726082,0.02539526,0.03947335,0.04425728,0.04426228,0.02676548,0.02770056,0.03556435,0.0370937,0.03459557,0.03759465,0.03729643,0.0403425
,2023-09-30 00:00:00,4.24,5.33,4176814.3,7268043.1,,          Công nghiệp và xây dựng,0.08352195,0.09085195,0.0957297,0.09638952,0.09701722,0.09068455,0.08894297,0.08853539,0.08633445,0.08932861,0.09355562,0.08904229,0.05153737,0.02981534,0.03077133,0.03978681,0.063,0.08363714,0.03568487,0.04049914,0.06383478,0.07696878,0.09443564,0.07777053,-0.00404306,0.01130876,0.02408503,0.03741157,0.06281638,0.0750832,0.08185749,0.08239959
,2023-06-30 00:00:00,3.72,4.14,2727672,4741481.5,,               Công nghiệp,0.09013371,0.09532342,0.09685184,0.09391567,0.10082699,0.09279844,0.08981104,0.08786195,0.08954466,0.09131437,0.0956008,0.08861061,0.05279949,0.02706347,0.0269415,0.03364042,0.065,0.08911625,0.04445132,0.04819272,0.07073884,0.08477696,0.09625871,0.07693027,-0.00820734,0.00437868,0.01645045,0.03020107,0.06181939,0.0754291,0.08337596,0.08322648
,2023-03-31 00:00:00,3.32,3.32,1320754.5,2300882,,                    Khai khoáng,0.067,0.0818,0.0815,0.065,0.004,-0.013,-0.0197,-0.0311,-0.022,0.0178,0.02681997,0.0129,-0.0318,-0.054,-0.0535,-0.0562,-0.0824,-0.06610241,-0.07171006,-0.06206325,0.01227496,0.02280486,0.04423634,0.05185071,-0.05600361,-0.01432782,-0.0301189,-0.03169825,-0.05839812,-0.0722226,-0.07011837,-0.07241726
,2022-12-31 00:00:00,8.02,5.92,5545715.9,9513327,,"                    Công nghiệp chế biến, chế tạo",0.0951,0.0995,0.1015,0.106,0.13556469,0.1302,0.12653,0.12984,0.12351,0.1118,0.11370638,0.1129,0.0712,0.0496,0.046,0.05824,0.0945,0.11420587,0.06052364,0.06371,0.07792414,0.0966409,0.10689448,0.08101846,-0.00370883,0.00369962,0.01977479,0.03621845,0.06979778,0.0866587,0.09763524,0.09827799
