,,Cung tiền M2,Tín dụng,FX reserve
,,Tăng trưởng cung tiền M2 YTD,Tăng trưởng tín dụng YTD,"Dự trữ ngoại hối VN (USD, mil)"
,Date,VNMOM2YT Index,VNMOCRYT Index,582.055 Index
,2025-12-31 00:00:00,,,
,2025-11-27 00:00:00,,16.56,
,2025-10-28 00:00:00,,14.77,
,2025-09-30 00:00:00,,13.37,
,2025-08-29 00:00:00,,11.82,
,2025-07-31 00:00:00,,10.24,
,2025-06-30 00:00:00,9.32,9.91,
,2025-05-31 00:00:00,5.91,6.72,79751.1
,2025-04-30 00:00:00,4.5,5.32,80096.3
,2025-03-31 00:00:00,2.99,3.91,80650.3
,2025-02-28 00:00:00,1.35,0.76,79471.1
,2025-01-31 00:00:00,1.46,0.55,78986
,2024-12-31 00:00:00,11.97,15.09,81214.4
,2024-11-30 00:00:00,8.14,11.85,82039.1
,2024-10-31 00:00:00,6.93,10.15,82469.2
,2024-09-30 00:00:00,5.94,9.11,82344.1
,2024-08-31 00:00:00,4.12,7.31,81992.8
,2024-07-31 00:00:00,2.52,5.93,81181.2
,2024-06-30 00:00:00,3.21,6.1,82877.8
,2024-05-31 00:00:00,0.82,3.43,84145
,2024-04-30 00:00:00,0.13,2.01,88246.4
,2024-03-31 00:00:00,0.09,1.42,89097.8
,2024-02-29 00:00:00,-0.53,-0.75,88337
,2024-01-31 00:00:00,0,-0.68,88117.7
,2023-12-31 00:00:00,12.46,13.78,90354.8
,2023-11-30 00:00:00,7.92,9.17,88085.8
,2023-10-31 00:00:00,5.96,7.41,87200.4
,2023-09-30 00:00:00,5.62,6.96,87629.4
,2023-08-31 00:00:00,4.04,5.57,87686.4
,2023-07-31 00:00:00,2.91,4.54,87225.9
,2023-06-30 00:00:00,3.71,4.73,89241
,2023-05-31 00:00:00,2.05,3.27,87678.5
,2023-04-30 00:00:00,1.71,3.03,88132.8
,2023-03-31 00:00:00,1.32,2.58,86346.1
,2023-02-28 00:00:00,0.32,0.85,85801.6
,2023-01-31 00:00:00,0.79,0.1,86400.4
,2022-12-31 00:00:00,6.15,14.18,84693.3
,2022-11-30 00:00:00,3.55,12.01,83475.1
,2022-10-31 00:00:00,3.08,11.62,84108
,2022-09-30 00:00:00,3.21,11.05,85813.1
,2022-08-31 00:00:00,2.68,9.98,92101.6
,2022-07-31 00:00:00,3.18,9.55,98605.4
,2022-06-30 00:00:00,3.78,9.44,101426.3
,2022-05-31 00:00:00,3.33,8.09,102886.6
,2022-04-30 00:00:00,3.5,7.24,105437.7
,2022-03-31 00:00:00,3.45,5.97,106329.2
,2022-02-28 00:00:00,1.81,2.65,108975.5
,2022-01-31 00:00:00,2.59,2.49,109644.8
,2021-12-31 00:00:00,10.66,13.61,107436.5
,2021-11-30 00:00:00,7.68,10.8,108028.9
,2021-10-31 00:00:00,6.58,8.76,105427.2
,2021-09-30 00:00:00,6.35,7.88,105232.5
,2021-08-31 00:00:00,5.34,7.45,104967.5
,2021-07-31 00:00:00,4.8,6.92,101884.2
,2021-06-30 00:00:00,4.43,6.44,99822
,2021-05-31 00:00:00,3.7,4.95,101261.2
,2021-04-30 00:00:00,2.93,4.17,100438.6
,2021-03-31 00:00:00,1.97,2.95,97919.7
,2021-02-28 00:00:00,0.97,0.66,97708.7
,2021-01-31 00:00:00,0.76,0.76,97023.9
,2020-12-31 00:00:00,14.53,12.17,94435.9
,2020-11-30 00:00:00,10.94,8.41,92543.8
,2020-10-31 00:00:00,9.29,6.79,90050.9
,2020-09-30 00:00:00,8.63,6.08,88351.2
,2020-08-31 00:00:00,7.02,4.82,87790.3
,2020-07-31 00:00:00,5.58,4.05,84118.6
,2020-06-30 00:00:00,5.15,3.65,83366.7
,2020-05-31 00:00:00,3.36,2,82842.8
,2020-04-30 00:00:00,1.95,1.41,81413.4
,2020-03-31 00:00:00,1.72,1.31,81302
,2020-02-29 00:00:00,0.94,0.17,80741
,2020-01-31 00:00:00,1.74,0.1,81144.8
,2019-12-31 00:00:00,14.78,13.65,77955
,2019-11-30 00:00:00,11.54,11,73450.8
,2019-10-31 00:00:00,10.06,10.03,70131.8
,2019-09-30 00:00:00,9.46,9.4,68812.1
,2019-08-31 00:00:00,8,8.16,66350.6
,2019-07-31 00:00:00,7.04,7.48,64368.8
,2019-06-30 00:00:00,7.11,7.36,63899.9
,2019-05-31 00:00:00,5.37,5.78,63179.5
,2019-04-30 00:00:00,3.63,4.46,63882
,2019-03-31 00:00:00,2.89,3.13,61996.4
,2019-02-28 00:00:00,1.79,1.07,60300.4
,2019-01-31 00:00:00,3,1.9,58992.3
,2018-12-31 00:00:00,12.44,13.89,55074.5
,2018-11-30 00:00:00,10.61,12.3,54684
,2018-10-31 00:00:00,9.84,11.16,54762.5
,2018-09-30 00:00:00,9.04,10.33,56628.5
,2018-08-31 00:00:00,8.49,8.98,56906.5
,2018-07-31 00:00:00,7.93,8.06,57441.6
,2018-06-30 00:00:00,8.39,7.82,57380.7
,2018-05-31 00:00:00,6.9,6.18,56323.4
,2018-04-30 00:00:00,5.72,5.09,55881.5
,2018-03-31 00:00:00,4.01,3.53,55872.3
,2018-02-28 00:00:00,2.55,1.33,55544.7
,2018-01-31 00:00:00,1.27,0.93,52708
,2017-12-31 00:00:00,14.97,18.28,48692.5
,2017-11-30 00:00:00,13.15,15.71,43490.2
,2017-10-31 00:00:00,10.89,13.72,42292.8
,2017-09-30 00:00:00,10.55,12.21,40977.3
,2017-08-31 00:00:00,8.93,10.8,39612.7
,2017-07-31 00:00:00,7.62,9.58,39151.9
,2017-06-30 00:00:00,6.89,9.01,38822.6
,2017-05-31 00:00:00,4.78,7.02,38113.6
,2017-04-30 00:00:00,3.89,5.66,38292.3
,2017-03-31 00:00:00,3.49,4.37,37465
,2017-02-28 00:00:00,1.78,1.77,37319.6
,2017-01-31 00:00:00,2.57,1.8,37572.9
,2016-12-31 00:00:00,18.38,18.25,36167.1
,2016-11-30 00:00:00,15.81,14.93,37235.9
,2016-10-31 00:00:00,14.02,12.66,37243.5
,2016-09-30 00:00:00,13.46,11.64,37249.9
,2016-08-31 00:00:00,11.01,9.64,36707
,2016-07-31 00:00:00,9.8,9.64,34810.8
,2016-06-30 00:00:00,9.52,8.21,34612.9
,2016-05-31 00:00:00,6.77,5.49,34422.3
,2016-04-30 00:00:00,5.1,4.06,33452.7
,2016-03-31 00:00:00,4.13,3.04,31240.5
,2016-02-29 00:00:00,1.98,0.65,28465.9
,2016-01-31 00:00:00,1.47,0.76,27124.5
,2015-12-31 00:00:00,16.23,17.26,27878.9
,2015-11-30 00:00:00,12.17,15.51,29921.9
,2015-10-31 00:00:00,10.5,13.39,30627.3
,2015-09-30 00:00:00,9.97,12.12,30275.5
,2015-08-31 00:00:00,7.96,10.21,32538.1
,2015-07-31 00:00:00,6.3,8.61,36535.2
,2015-06-30 00:00:00,6.05,7.86,36956.7
,2015-05-31 00:00:00,3.81,5.22,36849.8
,2015-04-30 00:00:00,2.88,3.98,36087
,2015-03-31 00:00:00,2.35,2.65,36540.9
,2015-02-28 00:00:00,2.49,0.65,36929.3
,2015-01-31 00:00:00,0.25,0.03,34318.6
,2014-12-31 00:00:00,17.69,14.16,33801.1
,2014-11-30 00:00:00,13.02,10.79,36050.8
,2014-10-31 00:00:00,11.07,8.82,36332.8
,2014-09-30 00:00:00,10.14,7.37,36424.5
,2014-08-31 00:00:00,8.54,5.62,36566.4
,2014-07-31 00:00:00,6.85,3.72,35668.2
,2014-06-30 00:00:00,6.99,3.72,35385
,2014-05-31 00:00:00,4.72,1.52,35268.9
,2014-04-30 00:00:00,3.73,1.43,35481.4
,2014-03-31 00:00:00,2.82,0.52,33339.8
,2014-02-28 00:00:00,1.7,-1.16,29588.1
,2014-01-31 00:00:00,2.12,-0.5,28683.6
,2013-12-31 00:00:00,18.85,12.52,25480.7
,2013-11-30 00:00:00,13.9,8.21,25338.2
,2013-10-31 00:00:00,11.73,7.27,24869.8
,2013-09-30 00:00:00,10.33,6.87,24025.5
,2013-08-31 00:00:00,9.1,6.44,24606.8
,2013-07-31 00:00:00,7.51,5.36,22814.3
,2013-06-30 00:00:00,7.31,4.72,24531.6
,2013-05-31 00:00:00,5.3,3.13,26244.7
,2013-04-30 00:00:00,4.41,2.22,27151.9
,2013-03-31 00:00:00,3.77,1.17,28042.2
,2013-02-28 00:00:00,2.26,-0.05,28218
,2013-01-31 00:00:00,1.71,-0.37,27826.8
,2012-12-31 00:00:00,18.46,8.85,25161.3
,2012-11-30 00:00:00,12.59,5.1,23154.4
,2012-10-31 00:00:00,10.11,3.38,21374.4
,2012-09-30 00:00:00,9.05,2.52,21259.4
,2012-08-31 00:00:00,7.86,2.11,20774.4
,2012-07-31 00:00:00,6.81,1.24,20032.5
,2012-06-30 00:00:00,5.78,1.51,19703.3
,2012-05-31 00:00:00,3.88,0.38,19920.9
,2012-04-30 00:00:00,1.88,-0.38,19466.1
,2012-03-31 00:00:00,1.06,-1.96,17384
,2012-02-29 00:00:00,-0.11,-2.51,14351
,2012-01-31 00:00:00,0.74,-0.79,13717.1
,2011-12-31 00:00:00,9.27,10.9,13127.6
,2011-11-30 00:00:00,,10,13692.9
,2011-10-31 00:00:00,7.5,8.61,14383.6
,2011-09-30 00:00:00,8.87,8.16,14928.6
,2011-08-31 00:00:00,7.83,8.15,15560.3
,2011-07-31 00:00:00,3.57,7.57,16613
,2011-06-30 00:00:00,2.33,7.05,14805.5
,2011-05-31 00:00:00,1.57,6.07,13111.8
,2011-04-30 00:00:00,0.98,5.01,12175
,2011-03-31 00:00:00,2.07,3.67,11795.6
,2011-02-28 00:00:00,2.75,2.71,11542.8
,2011-01-31 00:00:00,-0.33,0.43,11739.7
,2010-12-31 00:00:00,25.3,29.81,12054.1
,2010-11-30 00:00:00,,,12889.7
,2010-10-31 00:00:00,21.29,22.5,13676.4
,2010-09-30 00:00:00,18.5,17.81,13694.4
,2010-08-31 00:00:00,16.31,16.27,13322.5
,2010-07-31 00:00:00,12.96,12.97,13510
,2010-06-30 00:00:00,,10.52,13724.7
,2010-05-31 00:00:00,7.5,7.46,13541.4
,2010-04-30 00:00:00,,5.58,13927.6
,2010-03-31 00:00:00,2.3,2.95,13447.4
,2010-02-28 00:00:00,,,15081.4
,2010-01-31 00:00:00,,,15318.9
,2009-12-31 00:00:00,26.02,37.73,16027.4
,2009-11-30 00:00:00,,,16969.1
,2009-10-31 00:00:00,23.99,33.29,17894.4
,2009-09-30 00:00:00,,,18344.5
,2009-08-31 00:00:00,20.83,,18418.6
,2009-07-31 00:00:00,20.22,,19071.5
,2009-06-30 00:00:00,16.36,17.01,20253
,2009-05-31 00:00:00,14.55,14.91,20776.3
,2009-04-30 00:00:00,11.4,11.16,20929.7
,2009-03-31 00:00:00,5.55,2.67,23006.6
,2009-02-28 00:00:00,,0.54,22651.7
,2009-01-31 00:00:00,1.57,0.18,22827.9
,2008-12-31 00:00:00,16.31,21,23882
,2008-11-30 00:00:00,,,23228.9
,2008-10-31 00:00:00,10.59,19.6,23818.5
,2008-09-30 00:00:00,6.29,18.03,23847.3
,2008-08-31 00:00:00,,,22381.6
,2008-07-31 00:00:00,,,21754.2
,2008-06-30 00:00:00,,,22254
,2008-05-31 00:00:00,,,23591.4
,2008-04-30 00:00:00,,,25295.1
,2008-03-31 00:00:00,,,26434.7
,2008-02-29 00:00:00,,,25835.1
,2008-01-31 00:00:00,,,24328.5
,2007-12-31 00:00:00,,,23471.8
,2007-11-30 00:00:00,,,23413.8
,2007-10-31 00:00:00,,,23034.6
,2007-09-30 00:00:00,,,22573.7
,2007-08-31 00:00:00,,,21923.3
,2007-07-31 00:00:00,,,21698.6
,2007-06-30 00:00:00,,,20790.3
,2007-05-31 00:00:00,,,20257.6
,2007-04-30 00:00:00,,,19297.5
,2007-03-31 00:00:00,,,18316.4
,2007-02-28 00:00:00,,,16966
,2007-01-31 00:00:00,,,15263.8
,2006-12-31 00:00:00,,,13382.5
,2006-11-30 00:00:00,,,12289.3
,2006-10-31 00:00:00,,,12012.5
,2006-09-30 00:00:00,,,11903.5
,2006-08-31 00:00:00,,,11683.2
,2006-07-31 00:00:00,,,11356
,2006-06-30 00:00:00,,,11291.9
,2006-05-31 00:00:00,,,11390.2
,2006-04-30 00:00:00,,,11178.6
,2006-03-31 00:00:00,,,10741.1
,2006-02-28 00:00:00,,,10198.7
,2006-01-31 00:00:00,,,9992.3
,2005-12-31 00:00:00,,,9049.7
,2005-11-30 00:00:00,,,8858
,2005-10-31 00:00:00,,,8843
,2005-09-30 00:00:00,,,8608
,2005-08-31 00:00:00,,,8368
,2005-07-31 00:00:00,,,7995
,2005-06-30 00:00:00,,,7864
,2005-05-31 00:00:00,,,8268
,2005-04-30 00:00:00,,,8266
,2005-03-31 00:00:00,,,7923
,2005-02-28 00:00:00,,,7824
,2005-01-31 00:00:00,,,7786
