,,USDVND liên ngân hàng,USDVND trung tâm,DXY,USDJPY,EURUSD,JPYUSD,CNYUSD,CNHUSD,GBPUSD,TWDUSD,MYRUSD,KRWUSD,BDTUSD,LKRUSD,PKRUSD,PHPUSD,INRUSD,THBUSD,CADUSD,IDRUSD,BRLUSD
,Dates,USDVND BGN Curncy,SBVNUSD Index,DXY Curncy,USDJPY BGN Curncy,EURUSD BGN Curncy,JPYUSD BGN Curncy,CNYUSD BGN Curncy,CNHUSD BGN Curncy,GBPUSD BGN Curncy,TWDUSD BGN Curncy,MYRUSD BGN Curncy,KRWUSD BGN Curncy,BDTUSD BGN Curncy,LKRUSD BGN Curncy,PKRUSD BGN Curncy,PHPUSD BGN Curncy,INRUSD BGN Curncy,THBUSD BGN Curncy,CADUSD BGN Curncy,IDRUSD BGN Curncy,BRLUSD BGN Curncy
,2025-10-09 00:00:00,26349,25130,98.73,152.56,1.1646,0.006555,0.14034,0.1402,1.3414,0.032797,0.2372,0.07052,0.00822,0.3307,0.35538,0.017254,0.011265,0.030712,0.7175,0.060496,0.1871
,2025-10-08 00:00:00,26361,25133,98.915,152.69,1.1628,0.006549,0.14042,0.1399,1.3404,0.032713,0.2371,0.07022,0.00824,0.3309,0.35538,0.017256,0.011262,0.030761,0.7168,0.060341,0.1871
,2025-10-07 00:00:00,26365,25141,98.578,151.9,1.1657,0.006583,0.14042,0.1399,1.3426,0.03279,0.2373,0.07071,0.00824,0.3308,0.35549,0.017206,0.011264,0.030777,0.7168,0.060382,0.1869
,2025-10-06 00:00:00,26365,25146,98.108,150.35,1.1711,0.006651,0.14042,0.14,1.3485,0.0327,0.2372,0.07087,0.00824,0.3309,0.35545,0.017138,0.011263,0.030832,0.7172,0.060303,0.1883
,2025-10-03 00:00:00,26376,25162,97.723,147.47,1.1742,0.006781,0.14042,0.1401,1.348,0.032922,0.2376,0.0711,0.00822,0.3308,0.35533,0.01728,0.011263,0.030919,0.7167,0.060377,0.1874
,2025-10-02 00:00:00,26398,25177,97.846,147.26,1.1715,0.006791,0.14042,0.1402,1.344,0.032884,0.2377,0.07114,0.00823,0.3308,0.35542,0.01721,0.011275,0.030824,0.7159,0.060248,0.1873
,2025-10-01 00:00:00,26416,25187,97.706,147.07,1.1732,0.006799,0.14042,0.1403,1.3478,0.032839,0.2377,0.07128,0.00822,0.3308,0.35533,0.017196,0.011275,0.03088,0.7176,0.060116,0.1876
,2025-09-30 00:00:00,26424,25187,97.775,147.9,1.1734,0.006761,0.14042,0.1403,1.3446,0.032826,0.2377,0.07122,0.00822,0.3307,0.35539,0.017182,0.011262,0.030817,0.7184,0.060008,0.1879
,2025-09-29 00:00:00,26420,25192,97.906,148.59,1.1727,0.00673,0.1404,0.1403,1.3429,0.032847,0.2371,0.07142,0.00824,0.3308,0.35532,0.017202,0.011267,0.031038,0.7187,0.059952,0.1879
,2025-09-26 00:00:00,26403,25194,98.152,149.49,1.1703,0.006689,0.14016,0.14,1.3402,0.032763,0.2368,0.07094,0.00823,0.3313,0.35531,0.017197,0.011272,0.031011,0.7177,0.059744,0.1871
,2025-09-25 00:00:00,26400,25191,98.553,149.8,1.1666,0.006676,0.14017,0.14,1.3345,0.032849,0.2375,0.07097,0.00824,0.3307,0.35527,0.017211,0.011278,0.031065,0.7173,0.059705,0.1864
,2025-09-24 00:00:00,26418,25186,97.873,148.9,1.1738,0.006716,0.14021,0.1401,1.3447,0.032961,0.2373,0.07119,0.00826,0.3309,0.35526,0.017401,0.011275,0.031148,0.7196,0.059936,0.1876
,2025-09-23 00:00:00,26414,25189,97.264,147.64,1.1815,0.006773,0.14058,0.1406,1.3526,0.033009,0.2381,0.07172,0.00824,0.331,0.35521,0.017457,0.011267,0.031392,0.7228,0.059925,0.1893
,2025-09-22 00:00:00,26413,25189,97.341,147.72,1.1803,0.00677,0.14056,0.1405,1.3514,0.033065,0.2381,0.0719,0.00824,0.331,0.35516,0.017528,0.011323,0.031461,0.7237,0.060203,0.1874
,2025-09-19 00:00:00,26382,25186,97.644,147.95,1.1746,0.006759,0.14048,0.1405,1.3472,0.03311,0.2377,0.07159,0.00824,0.3312,0.35519,0.017506,0.011351,0.031384,0.7254,0.060237,0.1878
,2025-09-18 00:00:00,26380,25186,97.348,148,1.1788,0.006757,0.1406,0.1407,1.3555,0.033245,0.2383,0.07204,0.00824,0.3314,0.35519,0.017527,0.011347,0.031338,0.7248,0.060507,0.1882
,2025-09-17 00:00:00,26372,25198,96.873,146.99,1.1813,0.006803,0.14076,0.1408,1.3626,0.033278,0.2388,0.07265,0.00824,0.3314,0.35519,0.017578,0.011388,0.031434,0.726,0.060838,0.1885
,2025-09-16 00:00:00,26382,25208,96.633,146.48,1.1867,0.006827,0.14056,0.1408,1.3647,0.033256,0.2379,0.0725,0.00824,0.3314,0.35521,0.01757,0.011356,0.031562,0.7279,0.060827,0.1888
,2025-09-15 00:00:00,26384,25216,97.302,147.4,1.1761,0.006784,0.14048,0.1405,1.3599,0.033059,0.2379,0.07215,0.00824,0.3313,0.35516,0.017486,0.011336,0.031453,0.7258,0.060918,0.1881
