Công ty,Năm,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
1,2015,49005.228,-29690.259,19314.969,3962.354,-1625.823,2336.531,293.971,-62.986,11.294,3537.553,-1168.16,2369.393,448.992,24712.164,-11087.176,13624.988,-5676.332,7948.656,-1571.9,0,-1571.9,6376.756,-554.493,5822.263
1,2016,62600.277,-39165.682,23434.595,4490.151,-1981.011,2509.14,534.468,455.425,402.957,3785.164,-1902.181,1882.983,1214.488,30434.056,-13526.621,16907.435,-9198.824,7708.611,-1496.525,16.77,-1479.755,6228.856,-91.305,6137.551
1,2017,78628.515,-47673.184,30955.331,5611.617,-2645.847,2965.77,668.128,481.615,331.341,4594.254,-1315.256,3278.998,335.537,39016.72,-15504.237,23512.483,-14847.306,8665.177,-1757.94,38.349,-1719.591,6945.586,-158.876,6786.71
1,2018,90074.018,-55118.154,34955.864,6801.845,-3251.046,3550.799,1039.685,645.456,234.077,5337.309,-1522.134,3815.175,242.006,44483.062,-16116.922,28366.14,-18893.635,9472.505,-1926.628,-4.044,-1930.672,7541.833,-183.964,7357.869
1,2019,100747.225,-64769.417,35977.808,7871.837,-3605.506,4266.331,1494.696,325.524,481.222,6517.869,-1156.695,5361.174,214.485,48121.24,-17257.115,30864.125,-20131.916,10732.209,-2162.657,-21.795,-2184.452,8547.757,-179.266,8368.491
1,2020,100687.502,-64890.703,35796.799,8618.09,-3351.709,5266.381,1732.324,478.668,1516.137,7992.789,-2900.221,5092.568,154.267,50037.144,-17692.96,32344.184,-23317.941,9026.243,-1799.378,-3.3,-1802.678,7223.565,-226.943,6996.622
1,2021,101007.908,-54184.6,46823.308,10370.092,-3755.811,6614.281,1896.154,586.241,207.341,8957.444,-2778.592,6178.852,187.622,62493.799,-19465.321,43028.478,-29480.827,13547.651,-2707.403,1.023,-2706.38,10841.271,-301.133,10540.138
1,2022,121110.719,-65041.035,56069.684,10344.181,-4696.116,5648.065,3136.613,-31.664,258.467,6526.421,-2316.094,4210.327,290.952,69582.444,-22557.474,47024.97,-24015.485,23009.485,-4604.52,15.049,-4589.471,18420.014,-261.512,18158.502
1,2023,152761.316,-96625.75,56135.566,11893.4,-5323.53,6569.87,4707.371,305.396,2871.74,6542.525,-4474.726,2067.799,355.275,73013.017,-25080.598,47932.419,-20343.515,27588.904,-5615.711,3.948,-5611.763,21977.141,-472.223,21504.918
1,2024,138288.411,-80280.835,58007.576,13465.312,-6390.867,7074.445,5361.499,284.513,4900.33,9191.893,-4205.132,4986.761,445.742,81060.866,-27966.817,53094.049,-21109.18,31984.869,-6384.627,3.795,-6380.832,25604.037,-464,25140.037
2,2015,42471.731,-23632.746,18838.985,2650.863,-1190.961,1459.902,19.767,129.177,52.807,4108.124,-1905.838,2202.286,40.96,22743.884,-10719.457,12024.427,-4678.986,7345.441,-1628.563,0,-1628.563,5716.878,-18.957,5697.921
2,2016,52990.698,-30585.706,22404.992,3334.497,-1636.472,1698.025,685.139,183.919,40.955,2546.328,-1247.565,1298.763,150.475,26462.268,-12870.682,13591.586,-5022.104,8569.482,-1711.921,0.289,-1711.632,6857.85,-19.984,6837.866
