Trường dữ liệu,Mô tả
A1,TỔNG TÀI SẢN
A2,"1. Tiền mặt, vàng bạc, đá quý"
A3,2. Tiền gửi tại Ngân hàng nhà nước Việt Nam
A4,3. Tiền gửi tại các TCTD khác và cho vay các TCTD khác
A5,     Tiền gửi tại các TCTD khác
A6,     Cho vay các TCTD khác
A7,     Dự phòng rủi ro
A8,4. Chứng khoán kinh doanh
A9,     Chứng khoán kinh doanh
A10,     Dự phòng giảm giá chứng khoán kinh doanh
A11,5. Các công cụ tài chính phái sinh và các tài sản tài chính khác
A12,6. Cho vay khách hàng
A13,     Cho vay khách hàng
A14,     Dự phòng rủi ro cho vay khách hàng
A15,7. Hoạt động mua nợ
A16,     Mua nợ
A17,     Dự phòng rủi ro hoạt động mua nợ
A18,8. Chứng khoán đầu tư
A19,     Chứng khoán đầu tư sẵn sàng để bán
A20,     Chứng khoán đầu tư giữ đến ngày đáo hạn
A21,     Dự phòng giảm giá chứng khoán đầu tư
A22,"9. Góp vốn, đầu tư dài hạn"
A23,     Đầu tư vào công ty con
A24,     Đầu tư vào công ty liên doanh
A25,          Vốn Góp liên doanh
A26,          Đầu tư vào công ty liên kết
A27,     Đầu tư dài hạn khác
A28,     Dự phòng giảm giá đầu tư dài hạn
A29,10. Tài sản cố định
A30,     Tài sản cố định hữu hình
A31,          Nguyên giá TSCĐ
A32,          Hao mòn TSCĐ
A33,     Tài sản cố định thuê tài chính
A34,          Nguyên giá TSCĐ
A35,          Hao mòn TSCĐ
A36,     Tài sản cố định vô hình
A37,          Nguyên giá TSCĐ
A38,          Hao mòn TSCĐ
A39,11. Bất động sản đầu tư
A40,     Nguyên giá TSCĐ
A41,     Hao mòn TSCĐ
A42,12. Tài sản Có khác
A43,     Các khoản phải thu
A44,"     Các khoản lãi, phí phải thu"
A45,     Tài sản thuế TNDN hoãn lại
A46,     Tài sản Có khác
A47,     - Trong đó: Lợi thế thương mại
A48,     Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác
A49,NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
A50,Tổng nợ phải trả
A51,     Các khoản nợ chính phủ và NHNN Việt Nam
A52,     Tiền gửi và vay các Tổ chức tín dụng khác
A53,          Tiền gửi của các tổ chức tín dụng khác
A54,          Vay các tổ chức tín dụng khác
A55,     Tiền gửi của khách hàng
A56,     Các công cụ tài chính phái sinh và các khoản nợ tài chính khác
A57,"     Vốn tài trợ, uỷ thác đầu tư của Chính phủ và các tổ chức tín dụng khác"
A58,     Phát hành giấy tờ có giá
A59,     Các khoản nợ khác
A60,"          Các khoản lãi, phí phải trả"
A61,          Thuế TNDN hoãn lại phải trả
A62,          Các khoản phải trả và công nợ khác
A63,          Dự phòng rủi ro khác
A64,Vốn chủ sở hữu
A65,     Vốn của tổ chức tín dụng
A66,          Vốn điều lệ
A67,          Vốn đầu tư XDCB
A68,          Thặng dư vốn cổ phần
A69,          Cổ phiếu Quỹ
A70,          Cổ phiếu ưu đãi
A71,          Vốn khác
A72,Quỹ của tổ chức tín dụng
A73,Chênh lệch tỷ giá hối đoái
A74,Chênh lệch đánh giá lại tài sản
A75,Lợi nhuận chưa phân phối
A76,Lợi ích của cổ đông thiểu số
B1,Thu nhập lãi và các khoản thu nhập tương tự
B2,Chi phí lãi và các chi phí tương tự
B3,Thu nhập lãi thuần
B4,     Thu nhập từ hoạt động dịch vụ
B5,     Chi phí hoạt động dịch vụ
B6,Lãi/Lỗ thuần từ hoạt động dịch vụ
B7,Lãi/(lỗ) thuần từ hoạy động kinh doanh ngoại hối và vàng
B8,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh
B9,Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư
B10,     Thu nhập từ hoạt động khác
B11,     Chi phí hoạt động khác
B12,Lãi/(lỗ) thuần từ hoạt động khác
B13,"Thu nhập từ góp vốn, mua cổ phần"
B14,Tổng thu nhập hoạt động
B15,Chi phí hoạt động
B16,LN thuần từ hoạt động kinh doanh trước CF dự phòng rủi ro tín dụng
B17,Chi phí dự phòng rủi ro tín dụng
B18,Tổng lợi nhuận trước thuế
B19,     Chi phí thuế TNDN hiện hành
B20,     Chi phí thuế TNDN hoãn lại
B21,Chi phí thuế thu nhập doanh nghiệp
B22,Lợi nhuận sau thuế
B23,Lợi ích của cổ đông thiểu số
B24,Cổ đông của Công ty mẹ
C1,1. Chứng khoán kinh doanh
C2,     Chứng khoán nợ
C3,     Chứng khoán vốn
C4,2. Các khoản cho vay phân theo ngành
C5,     Thương mại
C6,     Nông nghiệp và lâm nghiệp
C7,     Sản xuất
C8,"          Công nghiệp chế biến, chế tạo"
C9,"          Sản xuất và phân phối điện, khí đốt và nước nóng, hơi nước và điều hòa không khí"
C10,"          Cung cấp nước, quản lý và xử lý rác thải, nước thải"
C11,          Khai khoáng
C12,     Xây dựng
C13,     Dịch vụ cộng đồng và cá nhân
C14,          Hoạt động phục vụ cá nhân và cộng đồng
C15,          Hoạt động các tổ chức và đoàn thể quốc tế
C16,          Y tế và hoạt động cứu trợ xã hội
C17,"          Nghệ thuật, vui chơi, giải trí"
C18,          Hoạt động hành chính và các dịch vụ hỗ trợ
C19,"          Hoạt động của Đảng, tổ chức chính trị xã hội, quản lý nhà nước, an ninh quốc phòng, bảo đảm XH bắt buộc"
