,,Vietnam,Asean,China,Japan,US,Eurozone,UK,India
,Dates,MPMIVNMA Index,MPMIANMA Index,CPMINDX Index,MPMIJPMA Index,MPMIUSMA Index,MPMIEZMA Index,MPMIGBCA Index,MPMIINMA Index
,2025-09-30 00:00:00,50.4,51.6,49.8,48.5,52,49.8,50.1,57.7
,2025-08-31 00:00:00,50.4,51,49.4,49.7,53,50.7,53.5,59.3
,2025-07-31 00:00:00,52.4,50.1,49.3,48.9,49.8,49.8,51.5,59.1
,2025-06-30 00:00:00,48.9,48.6,49.7,50.1,52.9,49.5,52,58.4
,2025-05-31 00:00:00,49.8,49.2,49.5,49.4,52,49.4,50.3,57.6
,2025-04-30 00:00:00,45.6,48.7,49,48.7,50.2,49,48.5,58.2
,2025-03-31 00:00:00,50.5,50.8,50.5,48.4,50.2,48.6,51.5,58.1
,2025-02-28 00:00:00,49.2,51.5,50.2,49,52.7,47.6,50.5,56.3
,2025-01-31 00:00:00,48.9,50.4,49.1,48.7,51.2,46.6,50.6,57.7
,2024-12-31 00:00:00,49.8,50.7,50.1,49.6,49.4,45.1,50.4,56.4
,2024-11-30 00:00:00,50.8,50.8,50.3,49,49.7,45.2,50.5,56.5
,2024-10-31 00:00:00,51.2,50.5,50.1,49.2,48.5,46,51.8,57.5
,2024-09-30 00:00:00,47.3,50.5,49.8,49.7,47.3,45,52.6,56.5
,2024-08-31 00:00:00,52.4,51.1,49.1,49.8,47.9,45.8,53.8,57.5
,2024-07-31 00:00:00,54.7,51.6,49.4,49.1,49.6,45.8,52.8,58.1
,2024-06-30 00:00:00,54.7,51.7,49.5,50,51.6,45.8,52.3,58.3
,2024-05-31 00:00:00,50.3,51.7,49.5,50.4,51.3,47.3,53,57.5
,2024-04-30 00:00:00,50.3,51,50.4,49.6,50,45.7,54.1,58.8
,2024-03-31 00:00:00,49.9,51.5,50.8,48.2,51.9,46.1,52.8,59.1
,2024-02-29 00:00:00,50.4,50.4,49.1,47.2,52.2,46.5,53,56.9
,2024-01-31 00:00:00,50.3,50.3,49.2,48,50.7,46.6,52.9,56.5
,2023-12-31 00:00:00,48.9,49.7,49,47.9,47.9,44.4,52.1,54.9
,2023-11-30 00:00:00,47.3,50,49.4,48.3,49.4,44.2,50.7,56
,2023-10-31 00:00:00,49.6,49.6,49.5,48.7,50,43.1,48.7,55.5
,2023-09-30 00:00:00,49.7,49.6,50.2,48.5,49.8,43.4,48.5,57.5
,2023-08-31 00:00:00,50.5,51,49.7,49.6,47.9,43.5,48.6,58.6
,2023-07-31 00:00:00,48.7,50.8,49.3,49.6,49,42.7,50.8,57.7
,2023-06-30 00:00:00,46.2,51,49,49.8,46.3,43.4,52.8,57.8
,2023-05-31 00:00:00,45.3,51.1,48.8,50.6,48.4,44.8,54,58.7
,2023-04-30 00:00:00,46.7,52.7,49.2,49.5,50.2,45.8,54.9,57.2
,2023-03-31 00:00:00,47.7,51,51.9,49.2,49.2,47.3,52.2,56.4
,2023-02-28 00:00:00,51.2,51.5,52.6,47.7,47.3,48.5,53.1,55.3
,2023-01-31 00:00:00,47.4,51,50.1,48.9,46.9,48.8,48.5,55.4
,2022-12-31 00:00:00,46.4,50.3,47,48.9,46.2,47.8,49,57.8
,2022-11-30 00:00:00,47.4,50.7,48,49,47.7,47.1,48.2,55.7
,2022-10-31 00:00:00,50.6,51.6,49.2,50.7,50.4,46.4,48.2,55.3
