,Chỉ tiêu bán lẻ (Hàng tháng) Đơn vị: Tỷ VND,Tổng mức bán lẻ hàng hóa,  Tăng trưởng YoY,Bán lẻ hàng hóa,  Tăng trưởng YoY2,"Dịch vụ lưu trú, ăn uống",  Tăng trưởng YoY3,Dịch vụ lữ hành,  Tăng trưởng YoY4,Dịch vụ khác,  Tăng trưởng YoY5
,02/2011,149735,0.2111,117961.604968356,0.2102,16448.704200088,0.2097,1506.05309,0.147,13818.57372999,0.228
,03/2011,150233,0.2687,117605,0.2652,17486,0.3098,1613,0.2101,13529,0.2555
,04/2011,153853,0.2622,120831,0.2669,17949,0.3101,1584,0.1733,13489,0.1758
,05/2011,156011,0.2297,122310,0.226,18205,0.2918,1470,0.0881,14026,0.2033
,06/2011,153596,0.2043,121647,0.2061,16911,0.2178,1385,0.0007,13653,0.1963
,07/2011,154367,0.1921,121932,0.1888,17082,0.2079,1373,-0.0144,13980,0.2276
,08/2011,157343,0.2007,124910,0.204,17126,0.2022,1417,-0.0028,13890,0.1948
,09/2011,164416,0.219,130430,0.2283,17886,0.1729,1483,0.0047,14617,0.2212
,10/2011,167546,0.2296,131406,0.2333,19518,0.2845,1424,0.1896,15198,0.1412
,11/2011,176378,0.2505,137707,0.2543,20665,0.2924,1409,0.1693,16597,0.1799
,12/2011,185145,0.3076,144292,0.3079,21713,0.351,1576,0.2528,17564,0.2602
,01/2012,191061,0.2758,149653,0.2655,21991,0.337,1362,-0.0896,18055,0.3313
,02/2012,186463,0.2453,145591,0.2342,21299,0.2949,1750,0.162,17823,0.2898
,03/2012,189056,0.2584,146703,0.2474,22132,0.2657,1776,0.1011,18445,0.3634
,04/2012,192432,0.2508,149309,0.2357,22362,0.2459,1816,0.1465,18945,0.4045
,05/2012,191800,0.2294,135296,0.1062,20981,0.1525,2000,0.3605,33523,1.3901
,06/2012,188011,0.2241,144634,0.189,22342,0.3212,2107,0.5213,18928,0.3864
,07/2012,189187,0.2256,145581,0.194,22420,0.3125,2081,0.5157,19105,0.3666
,08/2012,190322,0.2096,145585,0.1655,23288,0.3598,2347,0.6563,19102,0.3752
,09/2012,195105,0.1867,150036,0.1503,23095,0.2912,2212,0.4916,19762,0.352
,10/2012,200926,0.1992,153904.14949,0.1712,24074.42992,0.2334,2134.18003,0.4987,20812.96974,0.3695
,11/2012,201577,0.1429,154637,0.1229,24043,0.1635,2120,0.5046,20777,0.2519
,12/2012,204607,0.1051,156045,0.0815,23504,0.0825,2109,0.3382,22949,0.3066
,01/2013,209526.350334823,0.0811,160298,0.0528,25054,0.1644,1714,-0.1138,22460,0.2401
,02/2013,210017,0.1263,162930,0.1191,24467,0.1487,1749,-0.0006,20871,0.171
,03/2013,211301,0.1177,162407,0.107,25626,0.1579,1992,0.1216,21276,0.1535
,04/2013,213409,0.109,162589,0.0889,26508,0.1854,2179,0.1999,22133,0.1683
,05/2013,215507.4,0.1236,165575.6,0.2238,25731.9,0.2264,2074.7,0.0373,22125.2,-0.34
,06/2013,212247,0.1289,163094,0.1276,25252,0.1302,2046,-0.029,21855,0.1546
,07/2013,213303,0.1275,163087,0.1202,26285,0.1724,2200,0.0572,21731,0.1375
,08/2013,216396.7,0.137,165654.9,0.1379,26471.9,0.1367,2222.4,-0.0531,22047.5,0.1542
,09/2013,223287.6,0.1444,171600.7,0.1437,26992.7,0.1688,1864.4,-0.1571,22829.8,0.1552
,10/2013,225667.9,0.1231,172812,0.1229,27102.8,0.1258,2293.7,0.0747,23459.4,0.1272
,11/2013,226396.1,0.1231,173754.5,0.1236,27233.8,0.1327,2081.4,-0.0182,23326.4,0.1227
,12/2013,231116.7,0.1296,176048.3,0.1282,27816.2,0.1835,2151.8,0.0203,25100.4,0.0937
,01/2014,237493,0.1335,181317,0.1311,28447,0.1354,2146,0.252,25583,0.139
,02/2014,234308.2,0.1157,178758,0.0971,28743.8,0.1748,2135.4,0.2209,24671,0.1821
,03/2014,234308.2,0.1157,178758,0.0971,28743.8,0.1748,2135.4,0.2209,24671,0.1821
,04/2014,238934,0.1196,179226.3,0.1023,29743.2,0.122,2600.2,0.1933,27364.3,0.2364
,05/2014,240272.6,0.1149,179249.2,0.0826,29614.4,0.1509,2569.5,0.2385,28839.5,0.3035
,06/2014,248648.6,0.1715,186972.7,0.1464,29844.3,0.1819,2533.7,0.2384,29297.9,0.3406
,07/2014,238730.8,0.1192,177848,0.0905,30061,0.1437,2472.8,0.124,28349,0.3045
,08/2014,242295.781882255,0.1197,184173.165722415,0.1118,28215.36645984,0.0659,2606.0643,0.1726,27301.1854,0.2383
,09/2014,244529,0.0951,186083,0.0844,28898,0.0706,2410,0.2926,27138,0.1887
,10/2014,251194.9,0.1131,190620.1,0.103,29505,0.0886,2397,0.045,28672.8,0.2222
,11/2014,265032.7,0.1707,196996.4,0.1338,34315.7,0.26,2129.6,0.0232,31591,0.3543
,12/2014,273292.2,0.1825,205066.4,0.1648,29986.7,0.078,2246.6,0.0441,35992.5,0.4339
,01/2015,275454.2,0.13,211431.4,0.135,31023.5,0.052,2238,0.123,30761.3,0.185
,02/2015,276225,0.1789,210875.2,0.1797,32465.4,0.1295,2260.7,0.0587,30623.7,0.2413
